ID,Module,Submodule,Mode,Layer,Capability,Scenario / child function,Expected behavior,Local status,Local evidence,Production status,Production evidence,Confidence,Risk,Priority,Owner,Next verification,Last verified,Notes
ORDERS-CANCEL-CLOSE-001,orders,order commands,USER / LIVE / PAPER,API,Cancel/close order,POST cancel and close order routes,User can cancel or close eligible orders through protected command routes with ownership checks.,PASS,orders.service.test.ts; orders-positions.e2e.test.ts,NEEDS_PROD_SAMPLE,No current production cancel/close order command sample in final V1 evidence,High,Order lifecycle authority,P0,Backend + QA,Execute safe cancel on non-filled test pending order or stage when restored.,2026-05-01,Destructive/live actions need explicit operator plan.
POSITIONS-LIST-001,positions,position list/detail,USER / LIVE / PAPER,API + web,Position list/detail,List and inspect positions,Positions module exposes current positions with source and management-mode truth.,PASS,positions-live-status.e2e; positions exchange snapshot/takeover tests; web runtime positions features; middleware legacy redirect test,PARTIAL,Dashboard runtime positions verified for DOGE; authenticated API positions proof is not current,High,Operator position truth,P0,Backend + Frontend + QA,Run production authenticated API GET /dashboard/positions read-only smoke and confirm web /dashboard/positions redirects to /dashboard/bots/runtime?legacy=positions.,2026-05-01,API /dashboard/positions remains the positions read contract; web /dashboard/positions is a legacy redirect per dashboard-route-map.
POSITIONS-SNAPSHOT-001,positions,exchange snapshot,LIVE,API + exchange,Exchange snapshot,Fetch current exchange positions,User can fetch authenticated exchange position snapshot and see normalized live source data.,PASS,positions.exchangeSnapshot.e2e.test.ts; normalization tests,PARTIAL,Production runtime is exchange-synced; explicit snapshot endpoint proof not current,High,Exchange truth,P0,Backend + Exchange + QA,Run production exchange-snapshot read-only check for futures wallet.,2026-05-01,Requires real exchange auth.
POSITIONS-TAKEOVER-001,positions,takeover,LIVE,API + web,External takeover status and rebind,Detect/rebind imported external positions,External positions can be classified/taken over or kept manual with explicit status.,PASS,positions.takeover-status.e2e.test.ts; bots.runtime-takeover.e2e.test.ts,PARTIAL,Production imported/takeover flows were historically inspected; current proof not in V1FINAL,High,Manual/external exchange intervention,P0,Backend + QA,Add production read-only takeover-status proof and manual matrix scenario.,2026-05-01,Manual matrix lists exchange-side intervention as open.
POSITIONS-REPAIR-001,positions,repair,LIVE / PAPER,API,Legacy open position repair,POST orphan-repair,Repair path can close/repair legacy orphan states explicitly instead of hidden workaround.,PASS,positions.orphan-repair.e2e.test.ts,NOT_VERIFIED,No production repair proof; should only run under incident plan,Medium,Data repair safety,P1,Backend + Ops,Document when repair command is allowed and test only on fixture/stage.,2026-05-01,Do not execute casually on live production data.
BACKTEST-CRUD-001,backtests,runs,USER,API + web,Backtest run CRUD,List/create/detail/delete runs,User can create/list/view/delete backtest runs with validated payloads and UI states.,PASS,backtests.e2e.test.ts; BacktestCreateForm/BacktestsList tests,NEEDS_PROD_UI_CHECK,No current production backtest browser/API proof in final V1 evidence,Medium,Research workflow readiness,P1,Frontend + Backend + QA,Run production or stage backtest create/list smoke with small safe config.,2026-05-01,Not live-money side effect.
BACKTEST-REPORT-001,backtests,reports,USER,API + web,Backtest report/trades/timeline,Report metrics trades and timeline overlays,Backtest details expose report trades timeline events indicator overlays and pair stats.,PASS,backtests.e2e.test.ts; BacktestRunDetails/timeline tests; PAR timeline fixes,NEEDS_PROD_UI_CHECK,No current production backtest details proof in final V1 evidence,Medium,Backtest confidence,P1,Frontend + Backend + QA,Open known production backtest detail and verify timeline/trades/report render.,2026-05-01,Existing parity row covers shared evaluator only.
REPORTS-CROSSMODE-001,reports,cross-mode performance,USER,API + web,Cross-mode performance,GET /reports/cross-mode-performance,Reports compare PAPER/LIVE/BACKTEST performance metrics for dashboard reporting.,PASS,reports.service.test.ts; PerformanceReportsView.test.tsx,NOT_VERIFIED,No production reports endpoint/UI proof in final V1 evidence,Medium,Performance visibility,P1,Backend + Frontend + QA,Run production reports read-only smoke.,2026-05-01,Replaces broad previous REPORTS-PNL row with explicit route.
LOGS-AUDIT-001,logs,audit trail,USER,API + web,Audit trail,List and filter logs,Dashboard logs expose severity/source/actor filtering with ownership-safe audit entries.,PASS,logs.e2e.test.ts; AuditTrailView.test.tsx,NEEDS_PROD_UI_CHECK,No current production logs browser proof in final V1 evidence,Medium,Incident auditability,P1,Backend + Frontend + QA,Run production audit trail read-only check.,2026-05-01,Important for operator incident review.
ICONS-LOOKUP-001,icons,coin icons,USER,API + web,Icon lookup,GET /icons/lookup,Dashboard can resolve symbol icon assets without breaking table/list rendering.,PASS,icons.e2e.test.ts; frontend icons services,NEEDS_PROD_UI_CHECK,No current production icon lookup proof in final V1 evidence,Low,UI polish/recognition,P2,Frontend + Backend,Include in dashboard visual smoke.,2026-05-01,Low risk compared to money path.
UPLOAD-AVATAR-001,upload,avatar,USER,API,Avatar upload,POST /upload/avatar,Avatar upload accepts jpeg/png/webp under 2MB and processes to public jpg URL with auth/rate limit.,PASS,upload.e2e.test.ts,NOT_VERIFIED,No production upload proof in final V1 evidence,Low,Profile UX,P2,Backend + QA,Run only if profile avatar is launch-relevant.,2026-05-01,Uses multer/sharp and local public avatars storage.
MARKETSTREAM-SSE-001,market-stream,SSE,USER,API + worker,Market stream events,GET /market-stream/events,Stream endpoint sends health/candle events with event ids heartbeat ping and max-symbol validation.,PASS,marketStream.routes.contract/e2e tests; marketStreamFanout tests,PARTIAL,Runtime freshness proves worker/market data health; SSE endpoint proof not current,Medium,Live UI freshness,P1,Backend + QA,Run production SSE smoke for small symbol set if needed.,2026-05-01,Existing MARKETSTREAM-001 covers OPS freshness but not client SSE contract.
EXCHANGES-UI-001,exchanges,connections,USER / LIVE,Web + API,Exchange connections view,Exchange account connection health and permission state,User can inspect exchange connection state and API-key permission readiness.,PASS,ExchangeConnectionsView.test.tsx; apiKey tests,NEEDS_PROD_UI_CHECK,No current production exchanges page screenshot proof in final V1 evidence,High,Live trading readiness visibility,P0,Frontend + Backend + QA,Run production exchanges page read-only browser smoke.,2026-05-01,Important companion to API-key rows.
SUBS-ENTITLEMENTS-001,subscriptions,entitlements,USER / ADMIN,API,Entitlement enforcement,Bot/subscription restrictions,Subscription entitlements gate applicable bot/runtime features and owner account mapping.,PASS,bots.subscription-entitlements.e2e.test.ts; subscription tier contract docs,NOT_VERIFIED,No current production entitlement proof in final V1 evidence,Medium,Commercial/safety gating,P1,Backend + QA,Classify launch scope and run entitlement read/check smoke.,2026-05-01,May be post-MVP depending release decision.
ISOLATION-OWNERSHIP-001,isolation,cross-module,USER / ADMIN,API,Ownership isolation,Cross-user data access,Users cannot access or mutate resources they do not own across major modules.,PASS,data-isolation.e2e.test.ts and module e2e ownership checks,PARTIAL,Production auth proves own access; adversarial cross-user prod proof not current,High,Tenant data safety,P0,Security + Backend,Run non-destructive production/stage cross-user read-denial smoke with test accounts.,2026-05-01,High-stakes security coverage.
PAGINATION-QUERY-001,pagination,query parsing,USER,API,Pagination query parsing,Shared paged query params,Shared pagination parser normalizes list query params safely for endpoints that use it.,PASS,pagination-query.test.ts,NOT_APPLICABLE,Low-level parser local coverage sufficient; production-specific proof not meaningful,Low,List stability,P2,Backend,Keep parser tests green.,2026-05-01,Shared utility row.
ENGINE-PRETRADE-001,engine,pre-trade,LIVE / PAPER,Engine + API,Pre-trade guardrails,No flip caps budgets exchange readiness,Pre-trade checks fail closed before order execution when risk/exchange constraints are violated.,PASS,preTrade.e2e.test.ts; preTrade.service/risk tests,PARTIAL,Production live runtime uses guardrails but no current explicit pre-trade block artifact in V1FINAL,High,Real-money risk guard,P0,Backend + QA,Capture next production PRETRADE_BLOCKED event or run safe paper scenario.,2026-05-01,Core money-path safety.
ENGINE-LIFETIME-001,engine,lifecycle,LIVE / PAPER / BACKTEST,Engine,Position/order lifetime,Max time/final candle/lifecycle close policy,Lifetime policies close or skip decisions according to strategy/runtime contract without EXIT bypass.,PASS,strategyLifetimePolicy/runtimeFinalCandleDecision/lifecycleCloseParity tests,NEEDS_PROD_SAMPLE,No current production lifetime-close sample in final evidence,High,Unexpected close behavior,P0,Backend + QA,Add explicit lifetime disabled/enabled scenarios to manual matrix.,2026-05-01,Relevant because user noted no max time should have closed DOGE.
ENGINE-ORDER-TYPES-001,engine,execution,LIVE / PAPER,Engine + exchange,Order type handling,Market/limit and reduce-only semantics,Execution core maps order types consistently for PAPER and LIVE with exchange adapter parity.,PASS,orderTypes.service.test.ts; executionAdapterParity.test.ts; liveOrderAdapter.service.test.ts,PARTIAL,Production live order path exists but current order-type matrix not rerun,High,Exchange side-effect correctness,P0,Backend + Exchange + QA,Run paper/live-safe order type matrix before GO or mark unsupported types as blocked.,2026-05-01,Manual order UI currently has explicit MARKET fallback.
ENGINE-PAPER-LIVE-PARITY-001,engine,parity,PAPER vs LIVE,Engine,Paper/live decision equivalence,Runtime decision path,Paper and live decision paths stay equivalent until the exchange side-effect boundary.,PASS,paperLiveDecisionEquivalence.test.ts; sharedExecutionCore tests,NOT_APPLICABLE,Parity is local deterministic evidence; production live side covered by separate rows,High,False paper confidence,P1,Backend + QA,Keep parity test in local release pack.,2026-05-01,Production cannot prove paper/live equivalence alone.
